epoch,f1_score,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_f1_score,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.10243277251720428,62.0,804.0,0.995417594909668,0.07373271882534027,0.5079365372657776,786.0,64.0,0.3076923191547394,0.0,31.0,0.7102948427200317,0.1621621549129486,1.0,35.0,6.0
1,0.12580230832099915,69.0,773.0,0.9277763366699219,0.06867469847202301,0.4523809552192688,817.0,57.0,0.3199999928474426,0.0,29.0,0.6869157552719116,0.17142857611179352,1.0,37.0,6.0
2,0.1266149878501892,59.0,780.0,0.9533045291900635,0.07910271733999252,0.5317460298538208,810.0,67.0,0.3333333432674408,0.0,28.0,0.6616719961166382,0.1764705926179886,1.0,38.0,6.0
3,0.13832852244377136,59.0,703.0,0.8774892687797546,0.08701298385858536,0.5317460298538208,887.0,67.0,0.3478260934352875,0.0,25.0,0.6394087672233582,0.19354838132858276,1.0,41.0,6.0
4,0.12903225421905518,57.0,714.0,0.8573415875434875,0.08812260627746582,0.5476190447807312,876.0,69.0,0.380952388048172,0.0,24.0,0.6166980266571045,0.20000000298023224,1.0,42.0,6.0
5,0.14364641904830933,57.0,718.0,0.8198928833007812,0.08767471462488174,0.5476190447807312,872.0,69.0,0.380952388048172,0.0,22.0,0.5944879651069641,0.2142857164144516,1.0,44.0,6.0
6,0.13353565335273743,70.0,687.0,0.8978720307350159,0.07537011802196503,0.4444444477558136,903.0,56.0,0.4545454680919647,0.0,19.0,0.57606041431427,0.23999999463558197,1.0,47.0,6.0
7,0.15066470205783844,53.0,694.0,0.7980636954307556,0.09517601132392883,0.579365074634552,896.0,73.0,0.4545454680919647,0.0,19.0,0.5587343573570251,0.23999999463558197,1.0,47.0,6.0
8,0.13274337351322174,68.0,691.0,0.8550309538841248,0.07743658125400543,0.460317462682724,899.0,58.0,0.4761905074119568,0.0,17.0,0.5402567386627197,0.260869562625885,1.0,49.0,6.0
9,0.13953489065170288,64.0,675.0,0.8347508907318115,0.08412483334541321,0.4920634925365448,915.0,62.0,0.5263158082962036,0.0,16.0,0.5243306756019592,0.27272728085517883,1.0,50.0,6.0
10,0.14670658111572266,62.0,659.0,0.7988337874412537,0.08852005749940872,0.5079365372657776,931.0,64.0,0.5263158082962036,0.0,15.0,0.5087612867355347,0.2857142984867096,1.0,51.0,6.0
