epoch,f1_score,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_f1_score,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.18849840760231018,20.0,996.0,1.0648967027664185,0.10592459887266159,0.8550724387168884,588.0,118.0,0.12903225421905518,0.0,54.0,1.296613097190857,0.06896551698446274,1.0,13.0,4.0
1,0.20530973374843597,22.0,876.0,0.952936589717865,0.11693548411130905,0.8405796885490417,708.0,116.0,0.1600000113248825,0.0,42.0,1.0165760517120361,0.08695652335882187,1.0,25.0,4.0
2,0.22613532841205597,16.0,819.0,0.8335332870483398,0.1296493113040924,0.8840579986572266,765.0,122.0,0.20512820780277252,0.0,31.0,0.8076426982879639,0.11428571492433548,1.0,36.0,4.0
3,0.24618515372276306,17.0,724.0,0.7251960039138794,0.1431952714920044,0.8768116235733032,860.0,121.0,0.24242424964904785,0.0,25.0,0.6413863897323608,0.13793103396892548,1.0,42.0,4.0
4,0.2607758641242981,17.0,669.0,0.6509425044059753,0.1531645506620407,0.8768116235733032,915.0,121.0,0.3478260934352875,0.0,15.0,0.5102591514587402,0.21052631735801697,1.0,52.0,4.0
5,0.2895377278327942,19.0,565.0,0.5606204867362976,0.1739766150712967,0.8623188138008118,1019.0,119.0,0.4000000059604645,0.0,12.0,0.41294124722480774,0.25,1.0,55.0,4.0
6,0.32516130805015564,12.0,511.0,0.4856114983558655,0.19780220091342926,0.9130434989929199,1073.0,126.0,0.444444477558136,0.0,10.0,0.33904534578323364,0.2857142984867096,1.0,57.0,4.0
7,0.3403657078742981,17.0,452.0,0.4904601573944092,0.2111692875623703,0.8768116235733032,1132.0,121.0,0.5714285969734192,0.0,6.0,0.28638195991516113,0.4000000059604645,1.0,61.0,4.0
8,0.3731343448162079,13.0,407.0,0.4186631739139557,0.23496240377426147,0.9057971239089966,1177.0,125.0,0.6153846383094788,0.0,5.0,0.24543769657611847,0.4444444477558136,1.0,62.0,4.0
9,0.38810643553733826,14.0,377.0,0.38279035687446594,0.24750499427318573,0.8985507488250732,1207.0,124.0,0.6666666865348816,0.0,4.0,0.212534561753273,0.5,1.0,63.0,4.0
10,0.4058919847011566,14.0,349.0,0.36581385135650635,0.2621564567089081,0.8985507488250732,1235.0,124.0,0.6666666865348816,0.0,4.0,0.18523383140563965,0.5,1.0,63.0,4.0
11,0.4491978585720062,12.0,297.0,0.3305452764034271,0.2978723347187042,0.9130434989929199,1287.0,126.0,0.7272727489471436,0.0,3.0,0.16534526646137238,0.5714285969734192,1.0,64.0,4.0
12,0.4411764442920685,18.0,286.0,0.32586464285850525,0.29556649923324585,0.8695651888847351,1298.0,120.0,0.800000011920929,0.0,2.0,0.14982502162456512,0.6666666865348816,1.0,65.0,4.0
13,0.4805915057659149,8.0,273.0,0.29424524307250977,0.32258063554763794,0.9420289993286133,1311.0,130.0,0.800000011920929,0.0,2.0,0.13613690435886383,0.6666666865348816,1.0,65.0,4.0
14,0.4905660152435303,8.0,262.0,0.2650061547756195,0.3316326439380646,0.9420289993286133,1322.0,130.0,0.800000011920929,0.0,2.0,0.12366700172424316,0.6666666865348816,1.0,65.0,4.0
15,0.5254582762718201,9.0,224.0,0.2496393322944641,0.3654390871524811,0.9347826242446899,1360.0,129.0,0.800000011920929,0.0,2.0,0.1128048449754715,0.6666666865348816,1.0,65.0,4.0
16,0.5477707386016846,9.0,204.0,0.22222372889518738,0.38738739490509033,0.9347826242446899,1380.0,129.0,0.800000011920929,0.0,2.0,0.10650224983692169,0.6666666865348816,1.0,65.0,4.0
17,0.5454545617103577,12.0,198.0,0.24040347337722778,0.3888888955116272,0.9130434989929199,1386.0,126.0,0.800000011920929,0.0,2.0,0.10014571249485016,0.6666666865348816,1.0,65.0,4.0
18,0.545064389705658,11.0,201.0,0.23616252839565277,0.3871951103210449,0.9202898740768433,1383.0,127.0,0.800000011920929,0.0,2.0,0.09659959375858307,0.6666666865348816,1.0,65.0,4.0
19,0.5820568799972534,5.0,186.0,0.21664464473724365,0.41692790389060974,0.9637681245803833,1398.0,133.0,0.800000011920929,0.0,2.0,0.09181652218103409,0.6666666865348816,1.0,65.0,4.0
20,0.5976470708847046,11.0,160.0,0.21187767386436462,0.4425086975097656,0.9202898740768433,1424.0,127.0,0.800000011920929,0.0,2.0,0.08770270645618439,0.6666666865348816,1.0,65.0,4.0
21,0.5866667032241821,6.0,180.0,0.1794433295726776,0.42307692766189575,0.95652174949646,1404.0,132.0,0.800000011920929,0.0,2.0,0.08322670310735703,0.6666666865348816,1.0,65.0,4.0
22,0.6407766938209534,6.0,142.0,0.17383497953414917,0.48175182938575745,0.95652174949646,1442.0,132.0,0.800000011920929,0.0,2.0,0.07778137177228928,0.6666666865348816,1.0,65.0,4.0
23,0.6305418610572815,10.0,140.0,0.17930252850055695,0.4776119291782379,0.9275362491607666,1444.0,128.0,0.800000011920929,0.0,2.0,0.07455954700708389,0.6666666865348816,1.0,65.0,4.0
24,0.6416040062904358,10.0,133.0,0.17906257510185242,0.49042144417762756,0.9275362491607666,1451.0,128.0,0.800000011920929,0.0,2.0,0.0712820366024971,0.6666666865348816,1.0,65.0,4.0
25,0.6515151262283325,9.0,129.0,0.18751224875450134,0.5,0.9347826242446899,1455.0,129.0,0.800000011920929,0.0,2.0,0.06879067420959473,0.6666666865348816,1.0,65.0,4.0
26,0.6787564158439636,7.0,117.0,0.15253104269504547,0.5282257795333862,0.9492753744125366,1467.0,131.0,0.800000011920929,0.0,2.0,0.06690185517072678,0.6666666865348816,1.0,65.0,4.0
27,0.6785714030265808,5.0,121.0,0.14866431057453156,0.5236220359802246,0.9637681245803833,1463.0,133.0,0.800000011920929,0.0,2.0,0.0634932592511177,0.6666666865348816,1.0,65.0,4.0
28,0.6616161465644836,7.0,127.0,0.15625037252902985,0.5077519416809082,0.9492753744125366,1457.0,131.0,0.800000011920929,0.0,2.0,0.06147916615009308,0.6666666865348816,1.0,65.0,4.0
