epoch,f1_score,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_f1_score,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.1316978633403778,24.0,1321.0,1.212039589881897,0.07167954742908478,0.8095238208770752,269.0,102.0,0.15789473056793213,0.0,64.0,1.7969820499420166,0.08571428805589676,1.0,2.0,6.0
1,0.15259259939193726,23.0,1121.0,1.0536056756973267,0.08415032923221588,0.817460298538208,469.0,103.0,0.1690140962600708,0.0,59.0,1.3436470031738281,0.0923076942563057,1.0,7.0,6.0
2,0.1835334450006485,19.0,933.0,0.8423277735710144,0.10288461297750473,0.8492063283920288,657.0,107.0,0.20338982343673706,0.0,47.0,0.9968591332435608,0.11320754885673523,1.0,19.0,6.0
3,0.20932641625404358,25.0,738.0,0.7138083577156067,0.12038140743970871,0.8015872836112976,852.0,101.0,0.2608695924282074,0.0,34.0,0.7353619337081909,0.15000000596046448,1.0,32.0,6.0
4,0.262828528881073,21.0,568.0,0.554485023021698,0.15601782500743866,0.8333333134651184,1022.0,105.0,0.3333333134651184,0.0,24.0,0.5641461610794067,0.20000000298023224,1.0,42.0,6.0
5,0.3105413019657135,17.0,467.0,0.47442755103111267,0.1892361044883728,0.8650793433189392,1123.0,109.0,0.46153849363327026,0.0,14.0,0.44428589940071106,0.30000001192092896,1.0,52.0,6.0
6,0.33734941482543945,14.0,426.0,0.4107210040092468,0.20817844569683075,0.8888888955116272,1164.0,112.0,0.6666666865348816,0.0,6.0,0.34277236461639404,0.5,1.0,60.0,6.0
7,0.3930434584617615,13.0,336.0,0.3671591579914093,0.25167039036750793,0.89682537317276,1254.0,113.0,0.75,0.0,4.0,0.26746806502342224,0.6000000238418579,1.0,62.0,6.0
8,0.4904862642288208,10.0,231.0,0.31128376722335815,0.3342939615249634,0.920634925365448,1359.0,116.0,0.9230769276618958,0.0,1.0,0.21601125597953796,0.8571428656578064,1.0,65.0,6.0
9,0.5152838230133057,8.0,214.0,0.2848612070083618,0.35542169213294983,0.9365079402923584,1376.0,118.0,0.9230769276618958,0.0,1.0,0.18097040057182312,0.8571428656578064,1.0,65.0,6.0
10,0.5741176605224609,4.0,177.0,0.24780547618865967,0.4080267548561096,0.9682539701461792,1413.0,122.0,1.0,0.0,0.0,0.1503804475069046,1.0,1.0,66.0,6.0
11,0.5920397639274597,7.0,157.0,0.23468567430973053,0.4311594069004059,0.9444444179534912,1433.0,119.0,1.0,0.0,0.0,0.1280003935098648,1.0,1.0,66.0,6.0
12,0.6189258098602295,5.0,144.0,0.21049119532108307,0.4566037654876709,0.9603174328804016,1446.0,121.0,1.0,0.0,0.0,0.11089177429676056,1.0,1.0,66.0,6.0
13,0.6465753316879272,8.0,121.0,0.20916885137557983,0.4937238395214081,0.9365079402923584,1469.0,118.0,1.0,0.0,0.0,0.09633587300777435,1.0,1.0,66.0,6.0
14,0.6685082912445068,5.0,115.0,0.1814146786928177,0.5127118825912476,0.9603174328804016,1475.0,121.0,0.9230769276618958,0.0,1.0,0.0860680639743805,0.8571428656578064,1.0,65.0,6.0
15,0.7251461744308472,2.0,92.0,0.1565147489309311,0.5740740895271301,0.9841269850730896,1498.0,124.0,1.0,0.0,0.0,0.07433722913265228,1.0,1.0,66.0,6.0
16,0.7798741459846497,2.0,68.0,0.1334461122751236,0.6458333134651184,0.9841269850730896,1522.0,124.0,1.0,0.0,0.0,0.06665542721748352,1.0,1.0,66.0,6.0
17,0.7321428656578064,3.0,87.0,0.14406195282936096,0.5857142806053162,0.976190447807312,1503.0,123.0,1.0,0.0,0.0,0.06181342154741287,1.0,1.0,66.0,6.0
18,0.783699095249176,1.0,68.0,0.12986022233963013,0.6476684212684631,0.9920634627342224,1522.0,125.0,1.0,0.0,0.0,0.05511561781167984,1.0,1.0,66.0,6.0
19,0.809210479259491,3.0,55.0,0.1198810413479805,0.6910112500190735,0.976190447807312,1535.0,123.0,1.0,0.0,0.0,0.05047734081745148,1.0,1.0,66.0,6.0
20,0.8051947951316833,2.0,58.0,0.11068987846374512,0.6813187003135681,0.9841269850730896,1532.0,124.0,1.0,0.0,0.0,0.04611663147807121,1.0,1.0,66.0,6.0
21,0.8271186351776123,4.0,47.0,0.10588753968477249,0.7218934893608093,0.9682539701461792,1543.0,122.0,1.0,0.0,0.0,0.04326554015278816,1.0,1.0,66.0,6.0
