epoch,f1_score,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_f1_score,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.13202399015426636,3.0,1590.0,1.8386335372924805,0.07180385291576385,0.976190447807312,0.0,123.0,0.12987013161182404,0.0,66.0,2.999276876449585,0.0833333358168602,1.0,0.0,6.0
1,0.13631406426429749,1.0,1587.0,1.610658049583435,0.0730140209197998,0.9920634627342224,3.0,125.0,0.12987013161182404,0.0,66.0,2.6011910438537598,0.0833333358168602,1.0,0.0,6.0
2,0.13436979055404663,0.0,1577.0,1.410652756690979,0.07398708164691925,1.0,13.0,126.0,0.1315789520740509,0.0,66.0,2.239091157913208,0.0833333358168602,1.0,0.0,6.0
3,0.1384439468383789,1.0,1569.0,1.2363700866699219,0.07378984987735748,0.9920634627342224,21.0,125.0,0.1315789520740509,0.0,66.0,1.918883204460144,0.0833333358168602,1.0,0.0,6.0
4,0.14439140260219574,1.0,1541.0,1.0697087049484253,0.07503001391887665,0.9920634627342224,49.0,125.0,0.138888880610466,0.0,66.0,1.6398526430130005,0.0833333358168602,1.0,0.0,6.0
5,0.15168897807598114,3.0,1499.0,0.9604331254959106,0.0758323073387146,0.976190447807312,91.0,123.0,0.1538461595773697,0.0,65.0,1.4036600589752197,0.0845070406794548,1.0,1.0,6.0
6,0.16643550992012024,4.0,1414.0,0.8415660858154297,0.0794270858168602,0.9682539701461792,176.0,122.0,0.17543861269950867,0.0,57.0,1.2041306495666504,0.095238097012043,1.0,9.0,6.0
7,0.1872541308403015,3.0,1324.0,0.7422922849655151,0.08500345796346664,0.976190447807312,266.0,123.0,0.21276596188545227,0.0,54.0,1.0383487939834595,0.10000000149011612,1.0,12.0,6.0
8,0.21176469326019287,5.0,1189.0,0.6678966283798218,0.09236641228199005,0.9603174328804016,401.0,121.0,0.25,0.0,46.0,0.9013438820838928,0.11538461595773697,1.0,20.0,6.0
9,0.24355006217956543,3.0,1074.0,0.592340350151062,0.10275689512491226,0.976190447807312,516.0,123.0,0.29411765933036804,0.0,40.0,0.7877351641654968,0.1304347813129425,1.0,26.0,6.0
