epoch,f1_score,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_f1_score,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.1196969673037529,47.0,1115.0,0.7977350354194641,0.06616415083408356,0.6269841194152832,631.0,79.0,0.13513512909412384,3.0,61.0,0.9659669399261475,0.07575757801532745,0.625,21.0,5.0
1,0.12872841954231262,44.0,1066.0,0.7710896730422974,0.0714285746216774,0.6507936716079712,680.0,82.0,0.13698630034923553,3.0,60.0,0.9068356156349182,0.07692307978868484,0.625,22.0,5.0
2,0.1355932205915451,46.0,974.0,0.7690801620483398,0.0759013295173645,0.6349206566810608,772.0,80.0,0.1515151560306549,3.0,53.0,0.8632966876029968,0.08620689809322357,0.625,29.0,5.0
3,0.14554794132709503,41.0,957.0,0.74151611328125,0.08157389611005783,0.6746031641960144,789.0,85.0,0.16129031777381897,3.0,49.0,0.8239567875862122,0.09259258955717087,0.625,33.0,5.0
4,0.13212668895721436,53.0,906.0,0.7445856332778931,0.07456588000059128,0.579365074634552,840.0,73.0,0.17543859779834747,3.0,44.0,0.7907248735427856,0.10204081982374191,0.625,38.0,5.0
5,0.1595330685377121,44.0,820.0,0.7170130014419556,0.09090909361839294,0.6507936716079712,926.0,82.0,0.19607844948768616,3.0,38.0,0.7617835402488708,0.11627907305955887,0.625,44.0,5.0
6,0.17131474614143372,40.0,792.0,0.676690399646759,0.09794988483190536,0.682539701461792,954.0,86.0,0.19999998807907104,3.0,37.0,0.7371043562889099,0.1190476194024086,0.625,45.0,5.0
7,0.1576763540506363,50.0,762.0,0.6973065137863159,0.09069212526082993,0.60317462682724,984.0,76.0,0.2083333283662796,3.0,35.0,0.7175365090370178,0.125,0.625,47.0,5.0
8,0.17130620777606964,46.0,728.0,0.6788119077682495,0.09900990128517151,0.6349206566810608,1018.0,80.0,0.2083333283662796,3.0,35.0,0.6978402733802795,0.125,0.625,47.0,5.0
9,0.17653630673885345,47.0,690.0,0.6742329001426697,0.10273081809282303,0.6269841194152832,1056.0,79.0,0.21739131212234497,3.0,33.0,0.6802533268928528,0.1315789520740509,0.625,49.0,5.0
10,0.18346546590328217,45.0,676.0,0.6572083234786987,0.10700131952762604,0.6428571343421936,1070.0,81.0,0.23255814611911774,3.0,30.0,0.6674764752388,0.1428571492433548,0.625,52.0,5.0
11,0.1818181872367859,48.0,654.0,0.6529932022094727,0.10655737668275833,0.6190476417541504,1092.0,78.0,0.2380952537059784,3.0,29.0,0.6541458964347839,0.14705882966518402,0.625,53.0,5.0
12,0.18872268497943878,44.0,661.0,0.6265702843666077,0.11036339402198792,0.6507936716079712,1085.0,82.0,0.25641024112701416,3.0,26.0,0.6417907476425171,0.16129031777381897,0.625,56.0,5.0
13,0.2168087661266327,37.0,606.0,0.608069658279419,0.1280575543642044,0.7063491940498352,1140.0,89.0,0.25641024112701416,3.0,26.0,0.6264817714691162,0.16129031777381897,0.625,56.0,5.0
14,0.20817844569683075,42.0,597.0,0.6124269366264343,0.12334802001714706,0.6666666865348816,1149.0,84.0,0.25641024112701416,3.0,26.0,0.6146526336669922,0.16129031777381897,0.625,56.0,5.0
15,0.20887728035449982,46.0,560.0,0.6090101599693298,0.125,0.6349206566810608,1186.0,80.0,0.27027028799057007,3.0,24.0,0.6062554121017456,0.17241379618644714,0.625,58.0,5.0
16,0.2263648509979248,41.0,540.0,0.5965022444725037,0.13600000739097595,0.6746031641960144,1206.0,85.0,0.31578949093818665,2.0,24.0,0.5967596769332886,0.20000000298023224,0.75,58.0,6.0
